name,describe
rosemary roasted vegetables,healthy food vegetarian kosher salt rosemary garlic potato olive oil carrot walnut cheese ground pepper
rouille,french vegetarian bread crumbs cayenne extra virgin olive oil coarse sea salt garlic
roz bel laban,arabic dessert vegetarian rice pudding milk sugar vanilla cinnamon
saag alo,nepalese vegetarian spinach onion potato cumin seed turmeric powder nepali spices
saath,indian main course vegetarian urad dal potatoes wheat flour sooji
sabudana khichadi,indian snack vegetarian raw peanuts sabudana lemon avocado oil curry leaves green chili
sambar,indian main course vegetarian pigeon peas eggplant drumsticks sambar powder tamarind
sambusak,arabic snack vegetarian dough cheese spinach onions pine nuts spices
samosa,indian snack vegetarian potatoes green peas garam masala ginger dough
sandesh,indian dessert vegetarian milk sugar saffron cardamom
sandige,indian main course vegetarian thin rice flakes black sesame seeds curry leaves
sattu ki roti,indian main course vegetarian sattu atta dough filling mustard oil
sayadiyah,arabic main course nonvegetarian fish rice onions spices pine nuts
sea food soup,chinese nonvegetarian prawn squid fish ball fish cake mussels crab sticks
sesame noodles chili oil scallions,chinese vegetarian noodles salt garlic chilli oil sesame oil chilli flakes scallions sichuan pepper vinegar soy sauce
sev khamani,indian main course vegetarian khaman pomegranate sev powdered sugar garlic
sev tameta,indian main course vegetarian sev ginger tomato sugar
sevai,indian main course vegetarian sevai parboiled rice steamer
shahi paneer,indian main course vegetarian cottage cheese malai garam masala ginger tomato
shahi tukra,indian dessert vegetarian rose water milk white bread slices saffron almonds
shankarpali,indian dessert vegetarian sugar ghee maida flour semolina
shawarma,arabic main course nonvegetarian chicken lamb yogurt garlic lemon juice cumin paprika turmeric cardamom cinnamon black pepper vinegar salt olive oil
shawarma spiced braised leg lamb,indian nonvegetarian cumin seed garlic chilli powder lamb leg corriender onion turmeric powder lemon tomato
sheer korma,indian dessert vegetarian vermicelli pudding milk
sheera,indian dessert vegetarian semolina ghee nuts milk
shirazi salad,healthy food vegetarian spring onion cheese lemon juice cucumber onion carrot parsley cilantro
shish barak,arabic main course nonvegetarian dough dumplings minced meat yogurt pine nuts coriander
shrikhand,indian dessert vegetarian curd sugar saffron cardamom
shrimp olivier,french nonvegetarian shrimp egg potatoes carrot onion pasley mayo
shufta,indian dessert vegetarian cottage cheese dry dates dried rose petals pistachio badam
shukto,indian main course vegetarian green beans bitter gourd ridge gourd banana brinjal
singori,indian dessert vegetarian khoa coconut molu leaf
slow roasted pork,korean nonvegetarian fresh sage garlic cloves bone pork shoulder ground pepper dijon mustard
sohan halwa,indian dessert vegetarian corn flour ghee dry fruits
sohan papdi,indian dessert vegetarian gram flour ghee sugar milk cardamom
spice chicken baugette,vietnames nonvegetarian spice chicken cucumber coriander pickled carrort mayo
spicy chickpea wraps,healthy snack vegetarian chickpeas tortilla wraps lettuce spicy sauce yogurt
spicy kimchi tofu stew,korean vegetarian tofu kimchi gochujang black pepper sesame seeds soy sauce scallions
spicy korean steak,korean nonvegetarian boneless steak olive oil black pepper oyster sauce ginger chilli flakes cooking wine kimchi cilantro
spinach omelette,healthy breakfast nonvegetarian eggs spinach tomatoes cheese herbs
stir fried lettuces crispy shallots,chinese nonvegetarian sliced shallots pepper salt garlic ginger lettuce brown rice
