name,course,diet,ingredients
Mushroom matar,Indian main course,vegetarian,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
Mutar Paneer,Indian,vegetarian,"Green pea, cottage cheese, garlic, indian spices"
Muthiya,Indian snack,vegetarian,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
Mysore pak,Indian dessert,vegetarian,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee"
Naan,Indian main course,vegetarian,"Whole wheat flour, honey, butter, garlic"
Namakpara,Indian snack,vegetarian,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
Nankhatai,Indian dessert,vegetarian,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
Navrattan korma,Indian main course,vegetarian,"Green beans, potatoes, khus khus, low fat, garam masala powder"
Nepali Chicken Curry,Nepalese,nonvegetarian,"boneless chicken, onion, tomato, coriender powder,cumin powder,butter,turmeric, chilli powder, garlic,ginger"
Noodle Curry,Vietnames,nonvegetarian,"Vegetable stock curry, coconut, lime leaves, raddish, carrot"
Oatmeal Pancakes,Healthy Breakfast,vegetarian,"Oats, banana, eggs, honey, cinnamon"
Obbattu holige,Indian main course,vegetarian,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom"
Pachadi,Indian main course,vegetarian,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
Pad Thai,Thai,nonvegetarian,"noodles, vegetable oil, garlic, eggs, lime juice , brown sugar, fish sauce, ginger,red pepper flakes, onion, cilantro, penuts"
Pakhala,Indian main course,vegetarian,"Curd, cooked rice, curry leaves, dry chilli"
Palak paneer,Indian main course,vegetarian,"Cottage cheese, palak, cream, garam masala, butter"
Palathalikalu,Indian dessert,vegetarian,"Rice flour, milk"
Paneer butter masala,Indian main course,vegetarian,"Paneer, whipping cream, garam masala, cashew nuts, butter"
Paneer tikka masala,Indian main course,vegetarian,"Paneer, greek yogurt, tandoori masala, cream, bell pepper"
Pani Pitha,Indian main course,vegetarian,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
Pani puri,Indian snack,vegetarian,"Kala chana, mashed potato, boondi, sev, lemon"
Paniyaram,Indian main course,vegetarian,"Yogurt, ginger, curry leaves, baking soda, green chilli"
Panjeeri,Indian dessert,vegetarian,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina"
Pantua,Indian dessert,vegetarian,"Chhena, sugar, ghee, flour"
Papad,Indian snack,vegetarian,"Urad dal, sev, lemon juice, chopped tomatoes"
Papadum,Indian snack,vegetarian,"Lentils, black pepper, vegetable oil"
Paratha,Indian main course,vegetarian,"Wheat flour, butter, potato, coriander"
Paravannam,Indian main course,vegetarian,"Raw rice,  jaggery, milk"
Parmesan Cauliflower and Parsley Salad,Italian,vegetarian,",olives, parmesan cheese, pasley,pepper,oil"
Parmesan Toasts,Italian,vegetarian,"Bread, garlic, olive oil, Parmesan cheese, salt"
Paruppu sadam,Indian main course,vegetarian,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
