name,describe
pad thai,thai nonvegetarian noodles vegetable oil garlic eggs lime juice brown sugar fish sauce ginger red pepper flakes onion cilantro penuts halal
pho ga chicken,vietnames nonvegetarian rice noodle chicken lemon bean sprouts thai basils chicken halal
pho tai rare beef,vietnames nonvegetarian bean sprouts lemon thai basils rice noodles beef halal
pork bharta,indian main course nonvegetarian boiled pork onions chillies ginger garlic halal
prawn kastu curry,japanese nonvegetarian prawn rice japanes curry sauce bread crumbs rice halal
prawn malai curry,indian main course nonvegetarian coconut milk prawns garlic turmeric sugar halal
sayadiyah,arabic main course nonvegetarian fish rice onions spices pine nuts halal
shawarma,arabic main course nonvegetarian chicken lamb yogurt garlic lemon juice cumin paprika turmeric cardamom cinnamon black pepper vinegar salt olive oil halal
shawarma spiced braised leg lamb,indian nonvegetarian cumin seed garlic chilli powder lamb leg corriender onion turmeric powder lemon tomato halal
shish barak,arabic main course nonvegetarian dough dumplings minced meat yogurt pine nuts coriander halal
slow roasted pork,korean nonvegetarian fresh sage garlic cloves bone pork shoulder ground pepper dijon mustard halal
spice chicken baugette,vietnames nonvegetarian spice chicken cucumber coriander pickled carrort mayo halal
spicy korean steak,korean nonvegetarian boneless steak olive oil black pepper oyster sauce ginger chilli flakes cooking wine kimchi cilantro halal
spinach omelette,healthy breakfast nonvegetarian eggs spinach tomatoes cheese herbs halal
stir fried lettuces crispy shallots,chinese nonvegetarian sliced shallots pepper salt garlic ginger lettuce brown rice halal
sukuti chatpate,nepalese nonvegetarian crunchy noodles onion cucumber tomatoes lemon juice puffed rice dried meat halal
summer rolls,vietnames nonvegetarian mint lettuce noodles prawn rice paper peanut sauce halal
tacos de gobernador shrimp poblano cheese tacos,mexican nonvegetarian poblano chiles bacon shrips red salsa garlic corn tortillas lime juice halal
tandoori chicken,indian main course nonvegetarian greek yogurt garam masala kasuri methi marinade mustard oil halal
tandoori chicken,indian nonvegetarian cicken yougurt tandori spices ginger coriander turmeric lime halal
tandoori fish tikka,indian starter nonvegetarian chickpea flour biryani masala powder yogurt fish fillets green bell pepper halal
thai spareribs,thai nonvegetarian lemongrass ginger meaty sparerib sesame cilantro rice peanut sauce sesame oil garlic soy sauce halal
turkey wrap,healthy snack nonvegetarian whole wheat wrap turkey breast lettuce tomatoes mustard halal
vietnamese chicken salad,vietnames nonvegetarian roasted peanuts basil leaves mint leaves chicken cucumber carrot halal
vindaloo,indian main course nonvegetarian chicken coconut oil wine vinegar ginger green cinnamon halal
al hachi chicken,indian nonvegetarian shallow fried chicken bottle gourd boiled sun dried onion garlic whole spices: green cardamom black cardamom cinnamon sticks turmeric deggi mirch fennel seeds powder dry ginger powder coriander powder salt mustard oil desi ghee halal
amritsari chicken masala,indian nonvegetarian chicken ginger garlic paste curd lemon juice vinegar coriander powder cumin powder red chilli powder salt onion butter red chilli powder coriander powder cumin powder ginger water salt green chilli tomatoes sugar butter cream halal
amritsari fish,indian nonvegetarian fish curry ginger garlic halal
badam papite ke kebab pineapple salsa,indian nonvegetarian raw papaya raw potato almonds salt asafoetida turmeric celery coriander ginger green chillies gram flour green coriander oil pineapple onion green chillies green coriander lemon juice salt pepper halal
balti meat,mexican nonvegetarian refined oil black cardamoms green cardamoms mace clove cinnamon stick black pepper corn ginger garlic paste ginger green chilies mutton curry cut brown onion paste salt kashmiri red chili powder tomato puree garam masala powder coriander powder cumin powder halal
bengali lamb curry,indian nonvegetarian lamb pieces yogurt turmeric powder castor sugar red chili powder mustard oil onion ginger paste garlic paste green chillies mustard seeds almonds halal
bhurji egg,indian nonvegetarian made using indian spices onion tomatoes green chilli bread parathas. halal
bihari fish curry,indian nonvegetarian rohu fish salt turmeric powder chilli powder oil garlic green chillies mustard seeds black peppercorns cumin seeds whole red chillies fenugreek seeds tomatoes mustard oil bay leaves water garam masala coriander leaves halal
buldak hot spicy chicken,japanese nonvegetarian chicken drum sticks chicken breast soy sauce sugar traditional corn syrup substitution honey cheong ju clear rice wine similar japanese sake green onion black pepper olive oil sesame seeds optional marinating sauce: gochugaru red chili pepper flakes alapenos korean pear substitution asian pear onion garlic soy sauce spicy yellow mustard sesame oil sugar mul yut substitution honey halal
butter chicken,indian nonvegetarian mughalai delecacy halal
cajun spiced turkey wrapped bacon,mexican nonvegetarian turkey breast cajun spice spinach leaves cooked drained garlic pods salted butter feta cheese bacon strips ground black pepper cajun spice: onion powder garlic powder seasoning salt paprika ground black pepper cayenne pepper oregano thyme red pepper flakes like spicy halal
cauliflower chicken biryani,indian nonvegetarian boneless chicken biryani masala yogurt onions coconut oil cauliflower coconut diced onion diced peppercorns cardamoms cumin seeds bay leaves cinnamon cloves coconut oil garam masala dry chilli flakes turmeric powder black peppercorns cardamom cinnamon garlic crushed tomato puree green chillies fresh ginger peeled dry red chilli salt halal
chettinad fish fry,indian nonvegetarian surmai fish oil garlic buds ginger mash cumin fennel whole coriander black pepper mustard seeds curry leaves salt oil water tomatoes red pepper powder turmeric powder tamarind pulp cornflour lemon pieces halal
chettinadu chicken,indian nonvegetarian chicken spices halal
chicken 65,chinese nonvegetarian ed chicken preparation. chicken onion ginger halal
chicken mushroom lasagna,italian nonvegetarian chicken salt crush black pepper garlic cloves minced olive oil fresh thyme button mushroom onion low fat milk basil basil tomato sauce halal
chicken biryani,indian nonvegetarian malabar peppercorn cinnamon stick green cardamom pods star anise cloves fennel seeds vermicelli desi ghee shahi jeera bay leaves green chilli mint leaves onion saffron garlic paste salt chicken dark meat ginger paste turmeric powder coriander powder red chilli powder roma tomatoes de seedeed water halal
chicken dong style,chinese nonvegetarian oil chicken breast garlic ginger tomato catchup oyster sauce shitake mushrooms bomb shoots boiled salt sugar broth powder shocking wine potato starch sesame oil green onions halal
chicken farcha,indian nonvegetarian boneless chicken thigh without skin lemon juice garlic paste ginger paste red chilli powder coriander powder garam masala black pepper crushed salt bread crumbs semolina eggs red chilli powder oil halal
chicken mahalak sauce,indian nonvegetarian salt sugar seasonings oil corn flour chicken leg fresh chilli garlic ginger onion red chili paste tomato catchup paprika yellow capsicum vegetable stock halal
chicken white wine,italian nonvegetarian black pepper plain flour olive sunflower oil rashers lean bacon onions shallots cut half mushrooms butter boneless skinless chicken breasts chopped 3cm pieces dry white wine chicken vegetable stock garlic cloves bay leaves fresh thyme sprigs washed 1 2 tsp dried thyme halal
chicken masala,indian nonvegetarian chicken ginger garlic onion tomato garam masala bay leaves salt turmeric coriander powder red chilli powder oil green coriander cream halal
chicken minced salad,healthy food nonvegetarian olive oil chicken mince garlic minced onion salt black pepper carrot cabbage green onions sweet chilli sauce peanut butter ginger soy sauce fresh cilantro red pepper flakes crushed tarts halal
chicken nimbu dhaniya shorba,beverage nonvegetarian water chicken diced ginger garlic paste coriander lemon cream butter turmeric powder green chilli paste cornflour salt halal
chicken paella,mexican nonvegetarian chicken oil salt pepper paprika powder chilli flakes garlic paste onions bell peppers rice vegetable stock saffron peas olives parsley white wine halal
chicken parmigiana tomato sauce,italian nonvegetarian chicken parmigiana: chicken breast egg whole frozen flour planko bread crumbs fresh italian parsley vegetable oil solid butter unsalted tomato sauce mozzarella cheese italian parmesan cheese thyme pepperonata: red pepper green pepper yellow pepper red onion fresh tomato butternut squash garlic pure olive oil vegetable oil black pepper corn crushed salt parsley garnishing: parsley sprig spinach halal
chicken popcorn,chinese nonvegetarian chicken boneless corn flour purpose flour egg bread crumbs salt ginger garlic paste black pepper onion powder optional red chilli powder paprika cayenne pepper oil deep frying halal
chicken potli,chinese nonvegetarian chicken onion green chilli garlic ginger salt aromatic powder soya sauce oyster sauce spring onion filo sheets halal
chicken quinoa biryani,healthy food nonvegetarian onions tomato green chilliesslit open ginger garlic paste mint leaves coriander leaves cilantro fresh yogurt curdbeaten turmeric powder chilli powder salt chicken cut pieces garam masala powder ginger garlic paste yogurt curd chilli powder coriander powder salt oil cloves bay leaf cardamom halal
chicken razala,indian nonvegetarian chicken cooked rich gravy mint halal
chicken roulade,french nonvegetarian chicken breasts olives jalapenos bell peppersall 3 thyme dried white wine salt black pepper crushed taste egg olive oil mozerella cheese processed cheese halal
chicken shami kebab,indian nonvegetarian oil cumin seeds cloves black peppercorns cinnamon coriander seeds ajwain red chilli whole chilli flakes boneless chicken salt water ginger green chilli garlic coriander leaves mint leaves egg halal
chicken tikka,indian nonvegetarian served skewer halal
chicken tikka masala,indian nonvegetarian chicken roasted yogurt tomato sauce. creamy texture. halal
chilli chicken,chinese nonvegetarian boneless chicken salt cornflour black pepper egg soy sauce red chilli sauce garlic green chillies green chilli sauce vinegar onion capsicum black pepper salt halal
chilli fish,chinese nonvegetarian fish pieces boneless flour cornflour baking powder soy sauce celery pepper salt oil green onion sauce: ginger garlic green chili soy sauce tomato sauce chili sauce cornflour halal
coffee marinated mutton chops,thai nonvegetarian mutton chops espresso honey balsamic vinegar rosemary pink peppercorns crushed olive oil salt halal
crispy herb chicken,italian nonvegetarian fresh breadcrumbs parmesan cheese lemon rind fresh parsley leaves garlic powder plain flour egg milk chicken breast supremes vegetable oil mayonnaise sour cream fresh chives dried fresh available fresh parsley dried fresh available garlic red onion optional ground black pepper salt halal
curry fish fingers,thai nonvegetarian river sole fish cut thin strips garlic paste salt lime juice beer flour cornflour white pepper eggs mustard halal
dahi chicken,indian nonvegetarian dahi cumin powder garlic paste garam masala turmeric powder red chilli powder salt boneless chicken oil green chilli onion tomato halal
dahi lasooni chicken,indian nonvegetarian chicken boneless cube size chesse garlic ginger garlic paste coriander green chilli paste cream fresh curd kaju paste salt black salt garam masala chaat masala butter halal
damdama fish curry,indian nonvegetarian fish onion tomato reshagi red chilli powder cumin powder coriander powder coriander cumin salt oil halal
deviled scotch egg,french nonvegetarian lamb keema rosemary thyme eggs hard boiled peel flour eggs lightly whipped panco peanut oil salt pepper mayonnaise apple cedar vinegar english mustard salt pepper paprika olive powder halal
egg cheddar cheese sandwich,mexican nonvegetarian egg salt pepper ham slices basil leaves halal
egg garlic fried rice,chinese nonvegetarian oil garlic spring onion ginger red chilli egg cooked rice salt black pepper powder soya sauce halal
egg blanket,french nonvegetarian eggs brown bread slices butter chilli flakes oregano salt halal
fish andlouse,french nonvegetarian white wine water mix cover onion salt bay leaf black pepper corns olive oil onion garlic tomatoes peeled seeded basil leaves spring fresh thyme optional 1 bay leaf salt pepper olive oil wine vinegar prepared mustard salt pepper assorted garden herbs parsley basil etc. halal
fish curry,thai nonvegetarian fresh sole fish black pepper powder lemon juiced onion coriander seeds black pepper raw rice garlic cloves coconut coriander leaves ginger large cinnamon powder clove powder ground nut oil tamarind paste cooking oil salt halal
fish skewers coriander red wine vinegar dressing,thai nonvegetarian sea bass fillets olive oil grilling red wine vinegar sugar extra virgin olive oil garlic clove coriander bamboo skewers halal
fish white sauce,italian nonvegetarian fillet fish oil milk flour butter salt ground black pepper halal
garlic soya chicken,healthy food nonvegetarian chicken thigh breast cut crosswise 1 2 inch thin strips sesame oil toasted white pepper finely ground ginger juice peanut oil vegetable oil divided garlic cloves minced ginger red chilli flakes red onion snow peas trimmed red bell pepper cut thin strips rice vinegar soy sauce dark soy sauce chinese rice wine brown sugar cornflour halal
ghee roast chicken dosa quesadilla,mexican nonvegetarian dry red chillies coriander seeds cumin seeds fenugreek seeds black pepper clove garlic turmeric powder boneless chicken curd lemon juiced cooking chicken: tamarind pulp ginger 1 inch garlic cloves onion tomato ghee red chilli powder salt crushed jaggery dosa batter 4 dosas processed cheese ghee oil crisp dosa coriander leaves curry leaves deep fried curd salt zeera powder sugar red chilli powder halal
grilled kasundi honey chicken sweet potato mash,indian nonvegetarian chicken breast kasundi bengali mustard sauce sweet potato red yellow capsicum broccoli garlic buds refined oil salt butter cream green onion honey ginger garlic paste halal
half roast chicken,healthy food nonvegetarian cooking oil whole chicken skin rinsed dressed onions quartered skin garlic halved skin carrots roughly quartered celery thyme dunkleweizen pour glass keep open room temperature hour two make flat chicken stock butter sea salt halal
japanese fish stew,japanese nonvegetarian sole fillet also 2 3 types fish large shrimps optional potatoes peeled onions cut slices garlic cloves red capsicum use green also parsley coriander choose herb suits taste buds dashes hot sauce paprika olive oil white wine rock salt halal
jerk chicken,indian nonvegetarian chicken legs lime halved jerk seasoning powder bottled jerk seasoning paste bottled olive oil halal
koldil chicken,chinese nonvegetarian made banana flower; assamese specialty halal
lamb chargrilled bell pepper soup,healthy food nonvegetarian lamb bones preferably shank shoulder onions celery ginger garlic carrot chargrilled red yellow green bell peppers quartered whole spices mix black pepper cinnamon cardamom clove bay leaf salt water warm oil sunflower olive halal
lamb barley pot,healthy food nonvegetarian pot barley onions worcestershire sauce chilli flakes mustard seeds thick mutton chunks thick neck lamb chops water stock cover salt black pepper freshly ground halal
lamb korma,indian nonvegetarian onions almond paste ghee cinnamon sticks green cardamom cloves mace bay leaves garlic paste ginger paste lamb salt rose water infused 4 5 strands saffron yellow chilli powder yogurt yellow chilli powder black pepper powder coriander seed powder cumin powder red chilli powder turmeric powder clove powder green cardamom powder rose petal powder nutmeg powder black cardamom powder fennel powder cinnamon powder mace powder onions cream malai halal
lamb rogan josh,french nonvegetarian lamb chops stewing lamb vegetable oil cassia bark cinnamon stick bay leaves green cardamoms onions garlic cloves butter turmeric chilli powder ground cumin ground coriander tomato puree salt garam masala lemon juice halal
lemon honey glazed sous vide corn cob,snack nonvegetarian young corn cob honey lemon juice garlic cloves smashed celery stalk chives carrot salt paprika powder parsley plastic bag food thermometer halal
malabar fish curry,indian nonvegetarian whole coriander seeds whole red chilli coconut oil mustard seeds onion curry leaf coconut milk tamarind pulp coriander seabass fish curry cuts halal
malabari fish curry,indian nonvegetarian sear fish coconut ginger pureed tamarind salt powdered turmeric green chillies red chilli powder shallots halal
meat lovers pizza,italian nonvegetarian millet flour tapioca flour soy milk garlic powder baking powder salt tomato sauce mozzarella cheese prosciutto pepperoni chicken salami salami milano rosemary olive oil halal
methi chicken masala,indian nonvegetarian boneless chicken lemon juice red chilli powder salt ginger garlic paste curd red chilli powder salt coriander powder oil onion oil bay leaf green cardamom black cardamom cinnamon ginger garlic paste tomato kasoori methi green chilli water halal
methi malai cranberry chicken,indian nonvegetarian chicken sliced ??into large pieces salt cranberry puree red chilli powder garam masala coriander powder cumin powder chaat masala corn flour fenugreek leaves gram flour ginger garlic cream greek yogurt butter halal
microwave chicken steak,healthy food nonvegetarian chicken breasts boneless eggs slightly whisked ginger paste garlic paste onions coriander leaves green chillies black pepper powder flour vinegar salt oil halal
microwave tandoori chicken,indian nonvegetarian chicken sliced garlic paste ginger paste hung curd salt garam masala coriander powder pepper powder cream oil garnishing: lemon pieces onion rings halal
oyster lamb,thai nonvegetarian vegetable oil garlic ginger lamb stock oyster sauce dry sherry sugar celery salt bokchoy shitake mushroom halal
pan seared thigh chicken,mexican nonvegetarian chicken thai salt pepper lemon fresh thyme barley brockley mushroom extra virgin olive oil cherry tomato halal
peri peri chicken satay,snack nonvegetarian boneless skinless chicken thigh trimmed salt pepper yogurt chilli powder ginger garlic paste coriander leaves oil fry peri peri sauce potato fries halal
pesto fish kebabs,indian nonvegetarian king fish cut one inch pieces paprika cut one inch pieces bezel pasto white wine vinegar salt cooking spray halal
quick chicken curry,indian nonvegetarian chicken onion paste tomato garlic paste ginger paste coriander powder cumin powder turmeric powder red chilli powder garam masala powder oil salt green coriander halal
rice lamb stock,thai nonvegetarian rice desi ghee big cardamom bay leaf cinnamon stick fennel onion lamb bonz royal cumin cashew cream green cardamom powder salt water halal
risotto lobster parmesan egg pancake confit tomatoes coral tuille,italian nonvegetarian lobster shell carrot leeks garlic cloves tomato paste bay leaf peppercorn water lobster meat arborio rice onion leeks lobster stock parmesan cheese cream salt olive oil egg parmesan flour milk parsley salt cherry tomatoes garlic pods olive oil water oil flour salt halal
roast turkey cranberry sauce,healthy food nonvegetarian whole turkey butter onion celery crumbled sage thyme salt pepper garlic minced balsamic vinegar sugar cranberry halal
roasted spring chicken root veggies,healthy food nonvegetarian whole chicken thyme garlic lemon orange salt black pepper butter rub extra olive oil carrot turnip beetroot chipotle powder parsley halal
sali boti parsi meat dish,indian nonvegetarian mutton wash cut small cubes ghee oil tomatoes onions green chillies coriander leaves chilli powder turmeric powder ginger garlic paste water vinegar jaggery salt potatoes oil halal
seared salmon tabasco butter,thai nonvegetarian butter tabasco chives salt salmon fillet olive oil sea salt halal
southern fried chicken tenders,snack nonvegetarian chicken breast cut 20 strips 20 grams purpose flour salt hot red chillies eggs bread crumbles white cabbage slaw pasarley sprig honey mustard dip green bell pepper halal
spanish fish fry,mexican nonvegetarian sol fish tomato onion lemon juice olive oil ginger garlic paste bay leaves cinnamon stick green chillies vinegar salt water halal
spicy chicken curry,indian nonvegetarian oil ghee onion paste garlic paste ginger paste turmeric powder salt tomato puree coriander powder red chilli powder cumin powder garam masala chicken leg pieces coriander leaves water halal
spicy chicken masala,indian nonvegetarian mustard oil curry leaves kalonjee saunf garlic onion tomatoes ginger green chillies boneless chicken salt tomato puree red chilli powder cumin powder black salt peppercorn crushed water mint coriander halal
spicy creamy kadai chicken,indian nonvegetarian chicken ginger garlic paste pepper powder lime juice oil salt tomatoes green chillies ginger garlic paste chilli powder black cardamoms cloves water onion ginger green chillies chilli powder turmeric powder garam masala kasturi methi cream halal
steam bunny chicken bao,japanese nonvegetarian buns purpose white flour dry yeast sugar salt warm water chicken mince eggs soy sauce sugar sesame oil worcestershire sauce chives aromat powder halal
steamed chicken roulade,french nonvegetarian lamb mince garlic salt paprika powder pomodaro tomatoes olive oil celery shallots carrot black pepper bay leaf yellow chilli powder cilantro chicken thigh salt white pepper powder garlic paste white wine vinegar olive oil yellow chilli powder refined oil fenugreek seeds white pepper powder garlic fenugreek leaves onion broken cashew salt fresh cream kasoori methi halal
sticky rum chicken wings,snack nonvegetarian chicken wings without skin hung curd chilli powder sweet paprika powder english mustard paste garlic paste salt garlic rum bbq sauce halal
tandoori chicken,indian nonvegetarian dish originated punjab independence india pakistan. halal
thai fish curry,thai nonvegetarian fish cubed thai green curry paste oil onions garlic ginger galangal coconut milk coriander lemon juice palm sugar basil leaves salt & pepper halal
thai style chicken tikka,thai nonvegetarian chicken thais thai ginger lemon leaves lemongrass coconut milk powder refined oil red curry paste peanut butter bezel leaves lotus stem yellow butter chaat masala halal
